PWY0-1465	1.1.1.83	D-malate dehydrogenase (decarboxylating)
PWY-7130	4.1.2.55	2-oxo-3-deoxygalactonate 6-phosphate aldolase
GALACTCAT-PWY	4.1.2.55	2-oxo-3-deoxygalactonate 6-phosphate aldolase
PWY-5765	2.1.1.-	phloroglucinol <i>O</i>-methyltransferase
PWY-6386	6.3.2.10	UDP-N-acetylmuramoyl-tripeptide--D-alanyl-D-alanine ligase
PWY-6995	1.3.99.8	furoyl-CoA dehydrogenase
PWY-6997	1.3.99.8	furoyl-CoA dehydrogenase
PWY-5674	1.7.2.2	nitrite reductase
PWY-6051	2.4.1.-	UDP-glucose:4-amino-2,6-dinitrotoluene-glucosyltransferase
PWY-5270	1.1.1.248	salutaridine:NADPH 7-oxidoreductase
PWY-5169	3.5.2.15	cyanurate amidohydrolase
PWY-1269	3.1.3.45	3-deoxy-D-manno-octulosonate 8-phosphate phosphatase
PWY-5111	3.1.3.45	3-deoxy-D-manno-octulosonate 8-phosphate phosphatase
PWY-7119	2.7.1.91	phytosphingosine kinase
PWY-6974	1.1.1.-	dTDP-4,6-dihydroxy-2-methyloxan-3-one 4-ketoreductase
PWY-6944	1.13.11.25	3,4-dihydroxy-9,10-secoandrosta-1,3,5(10)-triene-9,17-dione 4,5-dioxygenase
MANNOSYL-CHITO-DOLICHOL-BIOSYNTHESIS	2.4.1.117	UDP-glucose:dolichyl-phosphate glucosyltransferase
PWY-7071	2.4.1.-	19-<i>O</i>-&beta;-glucopyranosyl-steviol glucosyltransferase
PWY-7071	2.4.1.-	steviol glucosyltransferase
PWY-5748	2.6.1.-	L-alanine:5-ketooctanal aminotransferase B
PWY-6258	4.2.3.-	patchoulol synthase
PWY-83	2.4.1.-	UDP-glucose:sinapaldehyde 4-&beta;-D-glucosyltransferase
PWYG-321	4.2.1.59	cis,cis-delta5,17-3-hydroxyC36:2-[acyl-carrier protein] dehydratase
PWY-3861	1.1.1.255	mannitol dehydrogenase
PWY-5695	3.1.3.5	XMP phosphohydrolase
PWY-6596	3.1.3.5	XMP phosphohydrolase
PWY-5661-1	5.4.2.5	phosphoglucomutase
GLYCOGENSYNTH-PWY	5.4.2.5	phosphoglucomutase
PWY-3801	5.4.2.5	phosphoglucomutase
PWY-2723	5.4.2.5	phosphoglucomutase
PWY-7343	5.4.2.5	phosphoglucomutase
GLUCOSE1PMETAB-PWY	5.4.2.5	phosphoglucomutase
PWY-622	5.4.2.5	phosphoglucomutase
PWY-7238	5.4.2.5	phosphoglucomutase
PWY-5940	5.4.2.5	phosphoglucomutase
PWY-6737	5.4.2.5	phosphoglucomutase
PWY-6731	5.4.2.5	phosphoglucomutase
PWY-5941	5.4.2.5	phosphoglucomutase
GLYCOCAT-PWY	5.4.2.5	phosphoglucomutase
PWY-5661	5.4.2.5	phosphoglucomutase
PWY-5384	5.4.2.5	phosphoglucomutase
PPGPPMET-PWY	3.6.1.40	guanosine-5'-triphosphate, 3'-diphosphate pyrophosphatase
PWYG-321	1.3.1.9	trans-delta2-cis,cis-delta7,25-C44:3-[acp]:NADH+ oxidoreductase
PWYG-321	1.1.1.100	3-oxo-behenoyl-[acp] reductase
PWY-6742	1.14.18.3	methane monooxygenase
TYRFUMCAT-PWY	3.7.1.2	fumarylacetoacetate hydrolase
PWY-6744	1.12.1.4	hydrogenase
LACTOSEUTIL-PWY	1.1.99.13	lactose 3-dehydrogenase
PWY-5	4.3.2.1	canavaninosuccinate lyase
PWY-5515	1.1.1.12	L-arabinitol 4-dehydrogenase
PWY3O-6	1.1.1.117	D-arabinose dehydrogenase
LIPA-CORESYN-PWY	2.7.1.-	lipopolysaccharide core heptose (I) kinase
LIPA-CORESYN-PWY	2.4.-.-	lipopolysaccharide core heptosyl transferase
LIPA-CORESYN-PWY	2.7.1.-	lipopolysaccharide core heptose (II) kinase
LIPA-CORESYN-PWY	2.4.1.44	lipopolysaccharide 1,6-galactosyltransferase
LIPA-CORESYN-PWY	2.4.1.73	UDP-D-glucose:(glucosyl)LPS &alpha;-1,3-glucosyltransferase
LIPA-CORESYN-PWY	2.4.1.58	lipopolysaccharide glucosyltransferase
PWY-6493	2.1.1.261	dimethylallyltryptophan N-methyltransferase
P621-PWY	3.5.2.12	6-aminohexnoate cyclic dimer hydrolase
PWY-7379	2.1.1.57	cap1 methyltransferase
PWY-5105	2.4.1.236	UDP-L-rhamnose:hesperitin- 7-O-&beta;-D-glucoside-2''-O-&beta;-L-rhamnosyltransferase
PWY-7384	1.1.1.38	malate dehydrogenase, NAD-requiring
PWY-7118	1.1.1.38	malate dehydrogenase, NAD-requiring
GLUCONEO-PWY	1.1.1.38	malate dehydrogenase, NAD-requiring
PWY-7117	1.1.1.38	malate dehydrogenase, NAD-requiring
PWY-7115	1.1.1.38	malate dehydrogenase, NAD-requiring
PWYG-321	1.3.1.9	trans-delta2-cis-delta15-C34:3-[acp]:NADH+ oxidoreductase
PWYG-321	1.3.1.9	trans-eicos-2-enoyl-[acyl-carrier protein] reductase
PWY-6453	3.1.2.-	cytochrome P450 fatty acid &omega;-hydroxylase
PWY-6930	2.3.1.-	4-methylumbelliferyl glucoside 6'-O malonyltransferase
PWY-6974	5.1.3.-	dTDP-4-oxo-2,6-dideoxy-D-glucose 3,5-epimerase
PWY-6554	2.7.1.159	inositol 1,3,4-triphosphate 6 kinase
PWY-6362	2.7.1.159	inositol 1,3,4-triphosphate 6 kinase
PWY-6366	2.7.1.159	inositol 1,3,4-triphosphate 6 kinase
PWY-6365	2.7.1.159	inositol 1,3,4-triphosphate 6 kinase
PWY-7108	1.14.13.154	erythromycin B 12 monooxygenase
PWY-6930	2.3.1.-	2-naphthol glucoside glucoside 6'-O malonyltransferase
PWY-7108	2.1.1.254	erythromycin D 3''-<i>o</i>-methyltransferase
PWY-7109	1.14.13.154	erythromycin D C-12 hydroxylase
PWY-7108	1.14.13.154	erythromycin D C-12 hydroxylase
PWY-7108	2.1.1.254	erythromycin C 3''-<i>o</i>-methyltransferase
PWY-6972	3.2.1.-	glucosyl-oleandomycin glucohydrolase
PWY-6946	1.1.1.145	cholesterol dehydrogenase
PPGPPMET-PWY	2.7.6.5	GDP pyrophosphokinase
PWY-5669	4.1.1.65	phosphatidylserine decarboxylase
PWY-7098	1.14.13.82	vanillate <i>O</i>-demethylase
PWYG-321	2.3.1.41	beta-keto-acyl synthase homolog
PWYG-321	4.2.1.59	3-cis-delta21,39-3-hydroxyC58:2-[acyl-carrier protein] dehydratase
PWY-5523	2.7.1.26	riboflavin kinase
PWY66-366	2.7.1.26	riboflavin kinase
PWY-6168	2.7.1.26	riboflavin kinase
RIBOSYN2-PWY	2.7.1.26	riboflavin kinase
PWYG-321	4.2.1.59	3-cis,cis-delta9,27-3-hydroxyC46:2-[acyl-carrier protein] dehydratase
PWY66-3	1.3.1.70	4,4-dimethyl-5&alpha;-cholesta-8-en-3-&beta;-ol:NADP+&Delta;14-oxidoreductase
PWYG-321	3.6.3.-	RXN1G-137
PWY0-1296	2.4.2.1	xanthosine phosphorylase
PWY-5695	2.4.2.1	xanthosine phosphorylase
SALVPURINE2-PWY	2.4.2.1	xanthosine phosphorylase
PWY-3101	1.14.11.23	quercetin synthase
PWY-6787	1.14.11.23	quercetin synthase
PWY-5390	1.14.11.23	quercetin synthase
PWY-3101	1.14.13.21	(+)-dihydrokaempferol 3'-hydroxylase
PWY-5391	1.14.13.21	(+)-dihydrokaempferol 3'-hydroxylase
PWY-5152	1.14.13.21	(+)-dihydrokaempferol 3'-hydroxylase
PWY1F-823	1.14.13.21	(+)-dihydrokaempferol 3'-hydroxylase
PWY-7419	1.14.13.-	CMP-5'-3-aminopropylphosphonate hydroxylase
PWY-5789	1.1.1.-	succinate semialdehyde reductase
PWY-6377	1.14.13.30	&alpha;-tocopherol &omega;-hydroxylase
PWY-5412	1.14.13.-	levopimaradienol hydroxylase
PWY-7419	2.3.3.-	2-phosphonomethylmalate synthase
PWY-5422	4.2.3.44	isopimara-7,15-diene synthase
PWY-5414	4.2.3.-	palustradiene synthase
PWY-5413	4.2.3.132	neoabietadiene synthase
PWY-5412	4.2.3.32	levopimaratadiene synthase
PWY-862	3.2.1.-	fructan 6-exohydrolase
PWY-6690	3.7.1.14	2-hydroxy-6-oxononatrienedioate hydrolase
PWY-6690	1.3.1.87	cis-3-(2-carboxyethenyl)-3,5-cyclohexadiene-1,2-diol dehydrogenase
PWY-6690	1.14.12.19	cinnamate dioxygenase
PWY-6690	1.13.11.16	2,3-dihydroxycinnamate dioxygenase
PWY-6692	1.16.9.1	iron-rusticyanin reductase
PWY-6694	1.2.7.10	oxalate oxidoreductase
PWY-6693	1.1.1.21	galactose reductase
P201-PWY	4.99.1.-	1,2-dinitroglycerol reductase (1-mononitroglycerol forming)
PWY-5292	2.1.1.94	16-hydroxytabersonine-O-methyltransferase
PWY-5349	1.10.3.1	phenolase
PWY-762	1.14.19.-	1-18:3-2-18:2-phosphatidylcholine desaturase
PWY-762	1.14.19.-	1-18:3-2-18:1-phosphatidylcholine desaturase
PWY-2681	2.5.1.27	dimethylallyl-diphosphate:AMP dimethylallyltransferase
P562-PWY	4.1.2.29	2-deoxy-5-keto-D-gluconate 6-phosphate aldolase
PWY-2681	2.5.1.112	dimethylallyl-diphosphate:ATP dimethylallyltransferase
PWY-5352	1.97.1.-	thiosulfate reductase
PWY-2661	3.2.1.68	isoamylase
PWY-6816	3.2.1.81	&beta;-agarase
PWY-7097	2.1.1.-	vanillate <i>O</i>-demethylase
PWY-0	2.3.1.57	putrescine acetyltransferase
PWY-0	1.4.3.4	<i>N</i>-acetylputrescine oxidase
PWY-3	2.6.1.-	polyamine aminotransferase
PWY-5	2.1.3.-	canaline carbamoyltransferase
PWY-7445	3.2.1.31	luteolin glucuronide &beta;-glucuronidase
12DICHLORETHDEG-PWY	1.2.1.-	chloroacetaldehyde dehydrogenase
PWY-7011	3.7.1.-	2-hydroxy-6-oxo-7-methyl-octa-2,4-dienoate hydrolase
PWY-5163	3.7.1.-	2-hydroxy-6-oxo-7-methyl-octa-2,4-dienoate hydrolase
PWY-7446	2.7.1.184	6-deoxy-6-sulfofructose kinase
PWY-7446	5.3.1.31	sulfoquinovose isomerase
PWY-7446	1.1.1.373	3-sulfolactaldehyde reductase
PWY-7446	4.1.2.57	6-deoxy-6-sulfofructose-1-phosphate aldolase
PWY-5163	1.13.11.-	2,3-dihydroxy-<I>p</I>-cumate dioxygenase
PWY-5163	4.1.1.-	HCOMODA decarboxylase
PWY-741	1.14.13.-	<I>p</I>-cymene monooxygenase
PWY-741	1.1.1.-	<I>p</I>-cumic alcohol dehydrogenase
PWY-741	1.2.1.29	cumic aldehyde dehydrogenase
PWY-5698	3.5.3.9	allantoate amidohydrolase
PWY-6181	2.1.1.8	histamine <i>N</i>-methyltransferase
PWY1F-FLAVSYN	5.5.1.6	chalcone isomerase
PWY-7397	5.5.1.6	chalcone isomerase
PWY-6787	5.5.1.6	chalcone isomerase
PWY-5533	6.4.1.6	acetone carboxylase
PWY-6839	4.1.1.82	phosphonopyruvate decarboxylase
PWY-6682	4.1.1.82	phosphonopyruvate decarboxylase
PWY-6322	4.1.1.82	phosphonopyruvate decarboxylase
PWY-5757	4.1.1.82	phosphonopyruvate decarboxylase
PWY-7237	5.3.99.11	<i>scyllo</i>-inosose epimerase/isomerase
HOMOSER-METSYN-PWY	2.5.1.48	<i>O</i>-succinylhomoserine(thiol)-lyase
PWY-3162	1.13.99.-	indole-3-acetate:oxygen 2-oxidoreductase (side-chain-cleaving)
PWY-5423	4.2.3.105	tricyclene synthase
PWY-3041	4.2.3.-	(<i>Z</i>)-&beta;-ocimene synthase
PWY-3162	1.13.99.-	indole acetaldehyde:oxygen 2-oxidoreductase
PWY-6199	2.8.2.27	quercetin 3-sulfate 4'-sulfotransferase
PWY-3162	1.13.99.-	indole-3-ethanol:oxygen 2-oxidoreductase
PWY-5081	2.6.1.28	L-tryptophan:phenylpyruvate aminotransferas
PWY-7042	1.1.1.-	11<i>cis</i>-3-hydroxyretinol dehydrogenase
PWY-6618	2.7.1.73	guanosine kinase
PWY4FS-2	2.1.1.103	S-adenosyl-L-methionine:N-dimethylethanolamine-phosphate N-methyltransferase
PWY-3385	2.1.1.103	S-adenosyl-L-methionine:N-dimethylethanolamine-phosphate N-methyltransferase
PWY-2821	1.-.-.-	CYP83A1 phenylacetaldoxime monooxygenase
PWY-7256	3.2.1.-	cyanidin 3,5-diglucoside glucosidase
PWY-7256	2.4.1.300	cyanidin 3-<i>O</i>-glucoside 7-<i>O</i>-glucosyltransferase (acyl-glucose dependent)
PWY-7256	3.2.1.-	cyanidin 3,7-diglucoside glucosidase
PWY-7256	2.4.1.299	cyanidin 3-<i>O</i>-glucoside 5-<i>O</i>-glucosyltransferase (acyl-glucose dependent)
PWY-621	2.7.1.2	&alpha;-D-glucopyranose 6-kinase
PWY-1361	1.14.12.21	benzoyl-CoA oxygenase
PWY-7255	2.1.1.44	L-histidine N-methyltransferase
PWY-7259	2.4.1.299	pelargonidin 3-<i>O</i>-glucoside 5-<i>O</i>-glucosyltransferase (acyl-glucose dependent)
PWY-5514	3.5.99.6	glucosamine-6-phosphate deaminase
PWY-6906	3.5.99.6	glucosamine-6-phosphate deaminase
PWY-6855	3.5.99.6	glucosamine-6-phosphate deaminase
GLUAMCAT-PWY	3.5.99.6	glucosamine-6-phosphate deaminase
PWY-7376	2.1.1.133	precorrin-4 (<i>C</i><sup>11</sup>)-methyltransferase
PWY-1723	1.5.1.-	NAD(P)-dependent methylene H<sub>4</sub>MPT dehydrogenase
PWY-1723	4.2.1.147	5,6,7,8-tetrahydromethanopterin hydro-lyase
PWY-7046	6.2.1.27	4-hydroxybenzoate-CoA ligase
PHENOLDEG-PWY	6.2.1.27	4-hydroxybenzoate-CoA ligase
PWY-6961	1.1.1.130	2,3-diketo-L-gulonate reductase
PWY-5645	5.3.2.-	2-hydroxy-5-chloromuconate tautomerase
PWY-7448	2.4.1.136	gallate 1-&beta;-glucosyltransferase
PWY-5475	2.4.1.136	gallate 1-&beta;-glucosyltransferase
HYDROXYPRODEG-PWY	2.6.1.23	erythro-4-hydroxyl-L-glutamate aminotransferase
PWY-7480	5.3.2.6	2-hydroxymuconate tautomerase
PWY-7006	5.3.2.6	2-hydroxymuconate tautomerase
PWY-5419	5.3.2.6	2-hydroxymuconate tautomerase
PWY-6336	5.3.2.6	2-hydroxymuconate tautomerase
PWY-6214	5.3.2.6	2-hydroxymuconate tautomerase
2ASDEG-PWY	5.3.2.6	2-hydroxymuconate tautomerase
PWY-5207	1.8.98.1	coB-coM heterodisulfide reductase
PWY-5637	5.4.4.1	hydroxylaminobenzene mutase
AST-PWY	2.3.1.109	arginine succinyltransferase
PWY-6339	1.13.11.-	3-O-methylgallate:oxygen 4,5-oxidoreductase
METHYLGALLATE-DEGRADATION-PWY	1.13.11.-	3-O-methylgallate:oxygen 4,5-oxidoreductase
PWY-6442	2.1.1.-	tricaffeoyl spermidine O-methyltransferase
PWY-7235	2.5.1.39	para-hydroxybenzoate:hexaprenyl-diphosphate hexaprenyltransferase
PWY3O-19	2.5.1.39	para-hydroxybenzoate:hexaprenyl-diphosphate hexaprenyltransferase
GLYCEROLMETAB-PWY	2.7.1.121	dihydroxyacetone kinase
PWY-1061	2.1.1.-	pectin methyltransferase
PWY-6682	1.1.1.309	phophonoacetaldehyde reductase
PWY-6322	1.1.1.309	phophonoacetaldehyde reductase
PWY-5757	1.1.1.309	phophonoacetaldehyde reductase
PWY-6638	4.4.1.25	L-cysteate sulfo-lyase
PWY-2421	1.14.12.1	anthranilate dioxygenase
PWY-6079	1.14.12.1	anthranilate dioxygenase
PWY-5648	1.14.12.1	anthranilate dioxygenase
PWY-6442	1.14.-.-	triferuloyl spermidine hydroxylase
P241-PWY	4.2.1.114	dihomocitrate dehydratase
PWYG-321	1.3.1.9	trans-delta2-cis,cis-delta15,33-C52:3-[acp]:NADH+ oxidoreductase
PWY-6190	1.13.11.-	4,6-dichloro-3-methylcatechol 1,2-dioxygenase
PWY-7111	2.2.1.6	acetolactate synthase
PWY-6389	2.2.1.6	acetolactate synthase
PWY-5938	2.2.1.6	acetolactate synthase
PWY-5939	2.2.1.6	acetolactate synthase
VALSYN-PWY	2.2.1.6	acetolactate synthase
MANNOSYL-CHITO-DOLICHOL-BIOSYNTHESIS	2.7.8.15	UDP-<i>N</i>-acetylglucosamine-dolichyl-phosphate <i>N</i>-acetylglocosaminephosphotransferase
LACTOSECAT-PWY	4.1.2.40	tagatose-1,6-bisphosphate aldolase
PWY-7077	4.1.2.40	tagatose-1,6-bisphosphate aldolase
PWY-7395	4.1.2.40	tagatose-1,6-bisphosphate aldolase
GALACTITOLCAT-PWY	4.1.2.40	tagatose-1,6-bisphosphate aldolase
PWY-5022	1.1.1.61	succinate semialdehyde reductase
PWY-5677	1.1.1.61	succinate semialdehyde reductase
PWY-5828	4.2.3.13	(+)-&delta;-cadinene synthase
PWY-5773	4.2.3.13	(+)-&delta;-cadinene synthase
PWY0-1535	4.3.1.18	D-serine ammonia-lyase
PWY-6196	4.3.1.18	D-serine ammonia-lyase
PWY-3301	3.1.1.49	sinapine esterase
PWY-6190	1.3.1.-	2,4-dichlorotoluene dihydrodiol dehydrogenase
PWY-5955	3.1.1.94	versiconal hemiacetal acetate esterase
PWY-5955	1.1.1.353	hydroxyversicolorone reductase
PWY-5954	1.14.13.174	(1'<i>S</i>,5'<i>R</i>)-hydroxyaverantin synthase
PWY-5954	1.1.1.352	(1'<i>S</i>,5'<i>S</i>)-hydroxyaverantin dehydrogenase
PWY-5954	1.1.1.349	norsolorinate ketoreductase
PWY-5954	1.14.13.174	(1'<i>S</i>,5'<i>S</i>)-hydroxyaverantin synthase
PWY-5954	1.1.1.352	(1'<i>S</i>,5'<i>R</i>)-hydroxyaverantin dehydrogenase
PWY-5954	4.2.1.142	5'-oxoaverantin cyclase
PWY-5355	1.7.3.1	nitroalkane oxidase
PWY-102	1.14.11.-	gibberellin A34,2-oxoglutarate:oxygen oxidoreductase
PWY-1341	1.17.99.-	phenylacetyl-CoA:acceptor oxidoreductase
PWY-6352	2.7.1.68	phosphatidylinositol 4 phosphate 5 kinase
PWY-6351	2.7.1.68	phosphatidylinositol 4 phosphate 5 kinase
PWY-7128	1.5.99.4	nicotine dehydrogenase
P181-PWY	1.5.99.4	nicotine dehydrogenase
PWY-5169	3.5.1.84	biuret amidohydrolase
PWY-7286	2.1.1.228	tRNA (guanine<small><sup>37</sup></small>-<em>N</em><small><sup>1</sup></small>)-methyltransferase
PWY-7285	2.1.1.228	tRNA (guanine<small><sup>37</sup></small>-<em>N</em><small><sup>1</sup></small>)-methyltransferase
PWY-6829	2.1.1.228	tRNA (guanine<small><sup>37</sup></small>-<em>N</em><small><sup>1</sup></small>)-methyltransferase
PWYG-321	2.3.1.179	cis,cis-delta9,27-C46:2-[acyl-carrier protein]:malonyl-[acyl-carrier protein] malonyltransferase
PWY-5751	1.1.1.-	phenylacetaldehyde reductase
PWY-6822	3.2.1.157	&iota;-carrageenase
PWY-6275	4.2.3.57	caryophyllene synthase
PWY-5425	4.2.3.57	caryophyllene synthase
P181-PWY	1.14.13.10	2,6-dihydroxypyridine 3-monooxygenase
PWY-3661-1	2.1.1.5	betaine--homocysteine S-methyltransferase
PWY-3661	2.1.1.5	betaine--homocysteine S-methyltransferase
ADENOSYLHOMOCYSCAT-PWY	2.1.1.5	betaine--homocysteine S-methyltransferase
PWY-5390	2.4.1.159	quercetin-3-<i>O</i>-glucoside <i>L</i>-rhamnosyltransferase
PWY-5307	2.3.1.-	caffeoyl-CoA:delphinidin-3,5,3'-triglucoside 5-O-glucoside-6-O-hydroxycinnamoyltransferase
LEU-DEG2-PWY	1.2.1.-	4-methyl-2-oxopentanoate dehydrogenase
LYSINE-DEG1-PWY	1.5.1.8	lysine-ketoglutarate reductase
PWY-321	1.1.1.-	16-hydroxypalmitate dehydrogenase
PWY-5519	1.2.1.26	&alpha;-ketoglutarate semialdehyde dehydrogenase
PWY-6760	1.2.1.26	&alpha;-ketoglutarate semialdehyde dehydrogenase
PWY-5159	1.2.1.26	&alpha;-ketoglutarate semialdehyde dehydrogenase
PWY-6499	1.2.1.26	&alpha;-ketoglutarate semialdehyde dehydrogenase
PWY-6497	1.2.1.26	&alpha;-ketoglutarate semialdehyde dehydrogenase
TRNA-CHARGING-PWY	6.1.1.21	histidyl-tRNA synthetase
PWY-6827	4.2.2.25	gellan lyase
PWY-6771	4.2.2.24	rhamnogalacturonan exolyase
PWY-6700	2.4.2.29	tRNA-guanine transglycosylase
PWY-6105	2.5.1.103	presqualene diphosphate synthase
PWY-6767	2.5.1.103	presqualene diphosphate synthase
PWY-5875	2.5.1.103	presqualene diphosphate synthase
PWY-6082	2.4.1.33	mannuronosyl transferase
PWY-6073	2.4.1.33	mannuronosyl transferase
PWY-7039	3.1.4.11	phosphatidylinositol 4,5-bisphosphate lipase C
LIPASYN-PWY	3.1.4.11	phosphatidylinositol 4,5-bisphosphate lipase C
PWY-6367	3.1.4.11	phosphatidylinositol 4,5-bisphosphate lipase C
PWY-6351	3.1.4.11	phosphatidylinositol 4,5-bisphosphate lipase C
PWY-7342	3.2.2.-	NaMN nucleosidase
PWY-5316	3.2.2.-	NaMN nucleosidase
PWY-5381	3.2.2.-	NaMN nucleosidase
PWY-5097	4.1.1.20	diaminopimelate decarboxylase
PWY-2942	4.1.1.20	diaminopimelate decarboxylase
PWY-2941	4.1.1.20	diaminopimelate decarboxylase
DAPLYSINESYN-PWY	4.1.1.20	diaminopimelate decarboxylase
PWY-6416	1.1.1.24	quinate dehydrogenase
PWYG-321	2.1.1.-	cis-delta21-39-hydroxy-40-methyl-C59:1-[acp] synthase
PWY-5968	2.4.1.177	<i>trans</i>-cinnamate glucosyltransferase
PWY-6116	3.1.3.79	mannosylfructose-phosphate phosphatase
PWY-5686	2.4.2.10	orotate phosphoribosyltransferase
PWY-6228	1.14.13.24	3-hydroxybenzoate 6-hydroxylase
M-CRESOL-DEGRADATION-PWY	1.14.13.24	3-hydroxybenzoate 6-hydroxylase
PWY-6971	1.14.13.-	8,8a-deoxyoleandolide monooxygenase
PWY-6915	1.14.11.-	pentalenolactone D dioxygenase
PWY-6919	1.14.11.-	neopentalenolactone E dioxygenase
PWY-7295	4.1.2.18	2-dehydro-3-deoxy-L-arabinonate aldolase
PWY-6922	2.3.1.-	ornithine <i>N</i><sup>&delta;</sup>-acetyltransferase
PWY-6971	2.3.1.-	8,8a-deoxyoleandolide synthase
PWY-6920	1.3.3.6	acyl-CoA oxidase
PWY-6920	2.3.1.-	4-coumaroylhexanoylmethane synthase
PWY-6972	2.4.1.-	oleandomycin glycosyltransferase
PWY-7106	1.14.13.188	6-deoxyerythronolide B 6S-monooxygenase
PWY66-201	1.14.13.8	nicotine monooxygenase
PWY66-201	2.4.1.17	nicotine:UDP-glucuronate glucuronosyltransferase
PWY66-201	2.1.1.49	nicotine <i>N</i>-methyltransferase
PWY-5672	4.2.1.125	dammarenediol-II synthase
PWY-481	1.17.99.2	ethylbenzene dehydrogenase
PWY-481	6.4.1.8	acetophenone carboxylase
PWY-481	1.1.1.311	(S)-1-phenylethanol dehydrogenase
PWY-7383	4.1.1.32	phosphoenolpyruvate carboxykinase (ITP)
RIBOSYN2-PWY	3.5.4.26	diaminohydroxyphosphoribosylaminopyrimidine deaminase
METHANOGENESIS-PWY	1.12.98.2	H<SUB>2</SUB>-forming methylene-H<SUB>4</SUB>MPT dehydrogenase
GLYCOLYSIS	5.3.1.1	triose phosphate isomerase
PWY-5484	5.3.1.1	triose phosphate isomerase
ANAGLYCOLYSIS-PWY	5.3.1.1	triose phosphate isomerase
PWY-7003	5.3.1.1	triose phosphate isomerase
PWY66-400	5.3.1.1	triose phosphate isomerase
PWY66-373	5.3.1.1	triose phosphate isomerase
PWY66-399	5.3.1.1	triose phosphate isomerase
GLUCONEO-PWY	5.3.1.1	triose phosphate isomerase
PWY-6142	5.3.1.1	triose phosphate isomerase
CALVIN-PWY	5.3.1.1	triose phosphate isomerase
P341-PWY	5.3.1.1	triose phosphate isomerase
P185-PWY	5.3.1.1	triose phosphate isomerase
PWY-1042	5.3.1.1	triose phosphate isomerase
PWY-6927	1.3.1.80	red chlorophyll catabolite reductase
PWY-5098	1.3.1.80	red chlorophyll catabolite reductase
PWY-7337	1.3.3.6	fatty acyl-CoA oxidase
PWY-7006	1.2.1.85	2-hydroxymuconate 6-semialdehyde dehydrogenase
PWY-5419	1.2.1.85	2-hydroxymuconate 6-semialdehyde dehydrogenase
PWY-6336	1.2.1.85	2-hydroxymuconate 6-semialdehyde dehydrogenase
PWY-5645	1.13.11.76	2-amino-5-chlorophenol 1,6-dioxygenase
PWY-7416	2.3.1.23	acyl-CoA:lyso-phosphatidylcholine acyltransferase
PWY-7409	3.1.1.4	phospholipase A2
PWY-7415	2.3.1.-	tylactone synthase
PWY-7416	3.1.1.4	phospholipase A2
PWY-7415	1.14.13.-	5-<i>O</i>-mycaminosyltylactone C20-hydroxylase
PWY-7415	2.4.1.316	tylactone mycaminosyltransferase
PWY-7415	1.14.13.186	20-oxo-5-<i>O</i>-mycaminosyltylactone 23-monooxygenase
PWY-7415	1.14.19.-	20-dehydro,23-deoxy-<i>O</i>-mycaminosyltylonolide C20-reductase
PWY-5959	2.1.1.110	sterigmatocystin <i>O</i>-methyltransferase
PWY-6682	2.7.1.-	1,2-dihydroxyethylphosphonate kinase
PWY-6681	2.5.1.-	apo-4'-lycopenoate cyclase
PWY-6681	1.2.1.-	apo-4'-lycopenal dehydrogenase
PWY-7176	2.7.4.22	UMP kinase
PWY-6682	1.1.1.-	1-hydroxy-2-phosphorylethylphosphonate dehydrogenase
PWY-6682	1.14.11.-	2-hydroxyethylphosphonate 1-hydroxylase
PWY-1422	5.5.1.24	&delta;-tocopherol cyclase
PWY-2681	3.2.2.-	<i>N</i><sup>6</sup>-(&Delta;<sup>2</sup>-isopentenyl)-adenosine 5'-monophosphate phosphoribohydrolase
PWY-7337	1.1.1.-	3-hydroxyacyl-CoA dehydrogenase
PWY-2701	2.4.1.170	isoflavone-7-O-glucosyltransferase
PWY-7383	4.1.1.32	phosphoenolpyruvate carboxykinase (GTP)
PWY66-399	4.1.1.32	phosphoenolpyruvate carboxykinase (GTP)
P241-PWY	1.1.1.-	<i>threo</i>-iso(homo)<sub>3</sub>citrate dehydrogenase
PWY-6455	6.3.2.35	D-alanine--D-serine ligase
PWY-6454	6.1.2.1	D-alanine--D-lactate ligase
PWY-6459	2.3.2.16	<i>N</i>-acetylmuramoyl-L-alanyl-D-glutamyl-L-lysyl-D-alanyl-D-alanine-diphosphoundecaprenyl-<i>N</i>-acetylglucosamine:glycine transferase
PWY-6459	2.3.2.18	<i>N</i>-acetylmuramoyl-L-alanyl-D-glutamyl-L-lysyl-(glycine)<sub>3</sub>-D-alanyl-D-alanine-diphosphoundecaprenyl-<i>N</i>-acetylglucosamine:glycine transferase
PWY-6459	2.3.2.17	<i>N</i>-acetylmuramoyl-L-alanyl-D-glutamyl-L-lysyl-(glycine)-D-alanyl-D-alanine-diphosphoundecaprenyl-<i>N</i>-acetylglucosamine:glycine transferase
PWY-5265	2.4.1.129	peptidoglycan glycosyltransferase
PWY0-1221	3.5.1.94	&gamma;-glutamyl-&gamma;-aminobutyrate hydrolase
PWY-6585	3.1.2.-	3-oxo-palmitoyl-ACP hydrolase
PWY-6585	4.1.1.56	3-oxo-palmitate decarboxylase
PWY-6585	3.1.2.-	3-oxo-myristoyl-ACP hydrolase
PWY-6585	3.1.2.-	3-oxo-dodecanoyl-ACP hydrolase
PWY-5782	1.1.99.32	L-sorbose dehydrogenase
PWY-5521	1.1.99.32	L-sorbose dehydrogenase
